"Google Documents","理財幫手AndroMoney","20260518"
"Id","幣別","金額","分類","子分類","日期","付款(轉出)","收款(轉入)","備註","Periodic","專案","商家(公司)","uid","時間"
"6566","TWD","52","餐飲食品","早餐","20251115","台新信用卡","","牛奶豆漿x2","","","7-Eleven","a94d917d353749b2a4c7cb53fe466ead","642"
"6558","TWD","118","運輸交通","台鐵","20251115","台新信用卡","","11/16去台中找大叔玩","","","","afd5a4de16df4ad2bec324f798c194b5","2130"
"6572","TWD","185","餐飲食品","午餐","20251117","常皮","","波奇波奇：自選夏威夷飯（雞肉，糙米生菜各半，鷹嘴豆，鳳梨，番茄，黃瓜，毛豆，甜椒，黎麥，南瓜子，花生碎）","","","","481bd4ac83334b54960f195000f54a66","855"
"6571","TWD","195","餐飲食品","午餐","20251118","常皮","","來來越式料理：海鮮河粉","","","","6c06769b4706491b8b70e2e0d877de71","1417"
"6576","TWD","1582","投資收入","定存","20251119","","玉山定存","","","","","c3f21092dd124880af46a4da3c2c416d","901"
"6575","TWD","853","投資收入","定存","20251119","","台新定存","","","","","0e3960de121245008ec362d3e118beb3","859"
"6574","TWD","7","費用","錯誤","20251119","台新信用卡","","","","","","2f4329f4946943fcb22531f73f0041e1","857"
"6573","TWD","97","帳目整理","帳目整理","20251119","","常皮","","","","","27e9ba52a009434e849b4d94004d3c1c","855"
"6580","TWD","240","帳目整理","帳目整理","20251120","","常皮","","","","","31f80e92ab7542cf8799a77ee07a7a3d","1226"
"6579","TWD","370","餐飲食品","午餐","20251120","常皮","","黃悶雞米飯：黃悶魷魚加豆皮豬肉","","","","dd110fbd2392448695982431d21c6a13","1225"
"6578","TWD","1856","理財投資","保險","20251120","玉山信用卡","","南山1／2終生意外險加實支實付醫療險12期","5|20250820|20260420|null|2|1","","","77b3a54b6652467eac19070edcda38f9_20251120",""
"6577","TWD","1856","轉帳","一般轉帳","20251120","玉山活存","玉山信用卡","","6|20250820|20260420|null|2|1","","","96291ed6d53345cd8a254ce3a2b07f5f_20251120",""
"6583","TWD","570","餐飲食品","晚餐","20251121","台新信用卡","","藏壽司","","","","a80946740a0842eb96fa34f872330d09","2107"
"6582","TWD","200","餐飲食品","午餐","20251121","常皮","","粥大福：海鮮粥","","","","a55f78a69f5d45bb9367da1a321d1f6b","2107"
"6581","TWD","1099","居家生活","網路費","20251121","台新銀行","","500G寬頻","7|20250121|20260421|null|2|1","","","abef87863d194a2e9ea3f1643b5f4b15_20251121",""
"6590","TWD","4000","轉帳","一般轉帳","20251122","台新銀行","常皮","","","","","ea2822d2e7e84a4f9cc7a9c72a795cc9","1850"
"6589","TWD","8","運輸交通","捷運","20251122","愛心卡","","台北到雙連","","","","faf14d97dcaa46f384c46669f4464c18","1805"
"6588","TWD","130","餐飲食品","飲料","20251122","常皮","","阿洋義式冰淇淋：開心果跟蜂蜜核桃優格","","","","e01a14fd5aed4dafb048e5e5cef06934","1306"
"6585","TWD","350","餐飲食品","午餐","20251122","常皮","","雙連太春小館：炸蝦飯，魚蛋沙拉","","","","4b4ccaabfd5a42b28caedb7c096642d7","1154"
"6584","TWD","280","運輸交通","高鐵","20251122","台新信用卡","","","","","","0a3674c371b644d5a6d41a487ae7200c","910"
"6595","TWD","48","餐飲食品","飲料","20251123","台新信用卡","","低脂牛奶打7折，運動飲料600cc","","","","5ab7d595a68745cabf6fbc788b325e93","2039"
"6594","TWD","60","運輸交通","台鐵","20251123","愛心卡","","大里到南港","","","","c7af5d3110bc4777a9bb72609647e42a","2037"
"6593","TWD","160","運輸交通","高鐵","20251123","台新信用卡","","南港到新竹","","","","119d576a885f4b9a92f3103658b2b7e3","2037"
"6592","TWD","90","餐飲食品","午餐","20251123","常皮","","宜隆福隆便當：招牌便當","","","","f7313bd90b3648f680884d5899f270af","2036"
"6591","TWD","998","3C通訊","電話費","20251123","台新信用卡","","","8|20250523|20260323|null|2|2","","","49f6368abfd84c2493cb87d0d0d55567_20251123",""
"6587","TWD","208","運輸交通","台鐵","20251123","台新信用卡","","新竹到福隆","","","","9cfcb098b50c4fe3938cb5a6cf5a0236","1159"
"6586","TWD","60","運輸交通","公車","20251123","台新信用卡","","草嶺古道芒花季接駁車","","","","6fb1988585f64b5093442cb8649106a1","1158"
"6597","TWD","3403","轉帳","一般轉帳","20251124","台新銀行","台新信用卡","","","","","a0f121b57a4b4abaa82e9fb8473636d0","1759"
"6596","TWD","180","餐飲食品","午餐","20251124","常皮","","波奇波奇：自選夏威夷飯（雞肉，糙米生菜各半，鷹嘴豆，鳳梨，番茄，黃瓜，毛豆，甜椒，黎麥，南瓜子）","","","","63440a70541d433d843e1df1c094a970","1243"
"6600","TWD","105","餐飲食品","晚餐","20251125","台新信用卡","","田園沙拉加兩瓶牛奶","","","","da8bf0ef75944e109f36690cd1bb330a","2105"
"6599","TWD","145","餐飲食品","午餐","20251125","常皮","","奮起湖便當：經典雙主菜（炸雞腿與滷排骨","","","","8b5c7a601d7d4c52b55f2171caed0fba","1256"
"6598","TWD","640","居家生活","居家雜物","20251125","台新信用卡","","金鳥防蚊貼片150天x2","","","","7eca0444ce3a48139e894006c30cb6b3","706"
"6601","TWD","450","服飾美容","剪髮理容","20251126","常皮","","剪加洗","","","東南理髮店","342daec856854df693490ea952fcfe83","1910"
"6602","TWD","160","餐飲食品","午餐","20251127","常皮","","大無敵烤肉飯：烤雞菲力飯，加30元燒肉","","","","a383b1d6020e48498865a369aff459b4","2107"
"6604","TWD","194","帳目整理","帳目整理","20251128","","常皮","","","","","aeefeff51d10416d800c506a796e1ba3","1311"
"6603","TWD","410","餐飲食品","午餐","20251128","常皮","","黃悶雞米飯：干鍋魷魚加豆皮牛肉","","","","2194efad265244e2ac12711df9abb32a","1309"
"6605","TWD","255","費用","代墊","20251129","常皮","","14小籠包，2蛋餅3豆漿","","","","c724a1146f6f4d6c8084842733f89f34","1806"
"6607","TWD","200","帳目整理","帳目整理","20251201","","常皮","","","","","33af650bb8ab4ee3acb6f9cfe530279b","1330"
"6606","TWD","180","餐飲食品","午餐","20251201","常皮","","波奇波奇：自選夏威夷飯（雞肉，糙米生菜各半，鷹嘴豆，鳳梨，番茄，黃瓜，毛豆，甜椒，黎麥，南瓜子）","","","","07ae0e3f0fa740d989a1246ee895666b","1329"
"6612","TWD","400","汽機車","維修保養","20251202","常皮","","1000公里換機油(7185","","","","d8c79e736d114363a0df746c50ba2774","1928"
"6608","TWD","145","餐飲食品","午餐","20251202","常皮","","東家便當，椒麻雞（好小塊）","","","","d2e9280cd57347e9837acead9f49c1e4","1308"
"6611","TWD","73","費用","代墊","20251203","台新信用卡","","幫弟買明日方舟合作的飲料三瓶","","","","1cf2e554c605419b9d905c18bede903c","1927"
"6610","TWD","55","餐飲食品","飲料","20251203","台新信用卡","","AB無加糖優酪乳PE930ml","","","","17c7451465254273b5f4af99a27110a2","1927"
"6609","TWD","178","餐飲食品","午餐","20251203","台新信用卡","","嫩烤香料雞胸排蔬滿盒，ab無糖優酪乳","","","","4dbffe3bf78b43288016164cf4ba26c0","1339"
"6621","TWD","195","餐飲食品","午餐","20251204","常皮","","來來越式料理：海鮮河粉","","","","b09f03672c9c45e2b99c85c36d810e7f","1403"
"6619","TWD","200","帳目整理","帳目整理","20251204","","常皮","","","","","334cd2b0f54f4b9283642ff23e82c16a","2213"
"6618","TWD","1348","代墊","代墊","20251204","","常皮","","","","","d06e1ab6d5514f4d82bf19b52f37d0f4","2111"
"6617","TWD","64","休閒娛樂","電玩","20251204","台新信用卡","","deviant art訂閱","","","","70c0285cf15044c4953d4b92d65650da","2209"
"6616","TWD","213","汽機車","油錢","20251204","台新信用卡","","","","","","3a626d17c8e84850b541fdecc0055fd6","2109"
"6615","TWD","1018","人情交際","和弟吃飯","20251204","台新信用卡","","品項 數量 金額 \n □ 和風洋蔥魚肝沙拉 (1-2人份) 1 $220 \n □ 胡麻海鮮沙拉 (1-2人份) 1 $240 \n □ 海膽軍艦壽司 (二貫) 1 $380 \n □ 火山豚燒肉丼 (溫泉蛋使用) 1 $270 \n □ 綜合握壽司 (五貫) 1 $290 \n □ 鹽烤黃鰭鯛 1 $290 \n □ 魚鮮特製咖哩豬排定食 (平日限定) \n (咖哩微辛口) 1 $350 \n ​內用服務費 10%：$204 \n ​小計：$2244 \n ​總計：$2244","","","","eab346975ddf4a15b71686fdce6abc3c","2006"
"6614","TWD","49","餐飲食品","飲料","20251204","台新信用卡","","全家冰淇淋（開心果不好吃","","","","e8cdee137af14f16b5806534f12bb1f8","2005"
"6613","TWD","1275","費用","代墊","20251204","台新信用卡","","跟弟一起吃飯（魚鮮會社","","","","0af61c06b6094681adbfbc5068122e81","2004"
"6624","TWD","16166","人情交際","孝養父母","20251205","玉山活存","","13000+180+352+126−800−32−255−42+520+3117（鞋子）=16166","","","","c64ec64d056f46adb3d9a134041f4a87","2111"
"6623","TWD","50","帳目整理","帳目整理","20251205","","常皮","","","","","de758652086f4628901b7024d81b501e","1553"
"6622","TWD","145","餐飲食品","午餐","20251205","常皮","","老虎麵大","","","","cbd777fc55644f16827a912c21a912b7","1404"
"6620","TWD","84734","一般收入","公司薪資","20251205","","玉山活存","","","","","1d658e017ec949cdb186b5bae1ed4b1f","1247"
"6629","TWD","165","費用","代墊","20251206","常皮","","10小籠包，1蛋餅2豆漿","","","","417de7e693c1414f871b15b66b1bdf92","1842"
"6626","TWD","250","汽機車","油錢","20251206","常皮","","贊助媽油錢跟50元過路費","","","","f923deae2b0c44acb7f753b168cd1220","1835"
"6625","TWD","370","餐飲食品","午餐","20251206","常皮","","江技舊記請媽吃飯，抵一部分出礦坑蜂蜜拿鐵（180元） \n 品項 規格/備註 單價 數量 小計 \n 熱狗 (3條) - $40 1 $40 \n 肉圓 (單顆) (補上此項) $40 1 $40 \n 餛飩 (8顆) 湯 $50 1 $50 \n 水晶餃 (5顆) 湯 $50 1 $50 \n 三合一 乾 (餛飩+麵+米粉) $70 1 $70 \n 主食小計     5項 $250 \n 品項 單價 數量 小計 \n 涼拌黃瓜 $40 1 $40 \n 煙燻豆皮 $40 1 $40 \n 涼拌海帶絲 $40 1 $40 \n 小菜小計   3項 $120","","","","7a62e83bc1b643b08683c21c9002ecf2","1502"
"6628","TWD","70","餐飲食品","飲料","20251207","常皮","","跟弟分大潤發山竹果汁","","","","219fbb069f544688a4d11b8e69daf73c","1840"
"6627","TWD","450","餐飲食品","晚餐","20251207","常皮","","噴火美式炭烤牛排：450元老饕板腱牛排","","","","c053c4f8e335406ea39305384e13c958","1838"
"6631","TWD","84","帳目整理","帳目整理","20251208","","常皮","","","","","01f84ba45be34818a177cda22fb71774","1317"
"6630","TWD","190","餐飲食品","午餐","20251208","常皮","","波奇波奇：自選夏威夷飯（雞肉，糙米生菜各半，鷹嘴豆，鳳梨，番茄，黃瓜，毛豆，甜椒，黎麥，紫高麗菜，南瓜子）","","","","e4a6c46ad71c4153a87770e1b9d45ea9","1251"
"6634","TWD","110","餐飲食品","午餐","20251209","常皮","","奮起湖便當：紅燒肉便當","","","","cf98a5b0881543ceb583513423a172a5","1207"
"6633","TWD","320","帳目整理","帳目整理","20251209","","常皮","","","","","4704d742451b4fc8be1d96ba982691d7","1207"
"6632","TWD","50000","理財投資","股票","20251209","玉山活存","","006208+VOO國泰定期定額40000，先轉預備金","","","","162d4c23224447df908c1ad8d2a10af9","1153"
"6637","TWD","2415","人情交際","和弟吃飯","20251210","台新信用卡","","巨城壽司郎，跟弟一起吃飯","","","","9fb3793400144ceb986fce161662a0e4","2014"
"6636","TWD","1185","一般收入","收取還款","20251210","","常皮","","","","","b9c763d7419142df9fbcf47e0bc48e91","2012"
"6635","TWD","42","帳目整理","帳目整理","20251210","","常皮","","","","","85e84c2e313a4bd78567da2c8531dea6","1610"
"6638","TWD","125","餐飲食品","午餐","20251211","常皮","","來來越式料理：生春捲","","","","462b0a363145411993c3e8e75564b5b7","1328"
"6639","TWD","155","餐飲食品","午餐","20251212","常皮","","饗：豬肉咖哩飯","","","","decb22823dcb4665b5a20d2b653c01a6","1241"
"6640","TWD","185","費用","代墊","20251213","常皮","","12小籠包，1蛋餅2豆漿","","","","2349a160096447eeb841583128d49ebc","1655"
"6642","TWD","120","餐飲食品","午餐","20251214","常皮","","九份紅槽肉圓，抵媽前面先出的芋圓錢","","","","5e50c03d3c794bc6b2981073a7c9d44e","1107"
"6643","TWD","195","餐飲食品","午餐","20251215","常皮","","來來越式料理：牛肉河粉","","","","c3bfc192c4dd4968a1ebc21f9a9d5e00","1236"
"6641","TWD","1450","投資收入","定存","20251215","","台新定存","","","","","f38dd9aa6898456190f6e50650f9ee53","1058"
"6644","TWD","219","餐飲食品","午餐","20251216","常皮","","牛丼家：秋葵牛丼，肉大碗，可樂餅","","","","f1158ffa5ac242a5814b46b6ad391c9c","1236"
"6647","TWD","180","餐飲食品","晚餐","20251217","常皮","","吳家甜不辣：甜不辣大，綜合麵線大加皮蛋","","","","f091be528d1044049161d748cf7cc500","1723"
"6646","TWD","178","餐飲食品","午餐","20251217","台新信用卡","","嫩烤香料雞胸排蔬滿盒，ab無糖優酪乳","","","","404aa572611a40a6afb5f701c384f8ed","1551"
"6645","TWD","1546","3C通訊","相機","20251217","台新信用卡","","SanDisk Extreme PRO SDXC UHS-II 記憶卡 128GB SD卡","","","","77ec989a8de8469091c89320d29560f2","1049"
"6648","TWD","170","餐飲食品","午餐","20251218","常皮","","大無敵烤肉飯：烤牛肉飯，加30元燒肉","","","","52815cecdc3e48ba94e07c145cd377f8","811"
"6649","TWD","180","餐飲食品","午餐","20251219","常皮","","南門壹食：人氣套餐（椒麻拌麵、蝦仁紅油抄手）","","","","ec7ec2aa0ee649c68e88e1a1382709c8","1555"
"6652","TWD","360","餐飲食品","午餐","20251220","台新信用卡","","野餐 Bask & Basket（漫畫博物館）蒜苗鹹豬肉披薩，熱抹茶牛奶","","","","573f37742fae4e8f8bf62a9b495aede9","2113"
"6651","TWD","1856","理財投資","保險","20251220","玉山信用卡","","南山1／2終生意外險加實支實付醫療險12期","5|20250820|20260420|null|2|1","","","77b3a54b6652467eac19070edcda38f9_20251220",""
"6650","TWD","1856","轉帳","一般轉帳","20251220","玉山活存","玉山信用卡","","6|20250820|20260420|null|2|1","","","96291ed6d53345cd8a254ce3a2b07f5f_20251220",""
"6654","TWD","209","投資收入","定存","20251221","","玉山活存","","","","","9fa3098307244c29bc3e93f6eb4e2b11","1637"
"6653","TWD","1099","居家生活","網路費","20251221","台新銀行","","500G寬頻","7|20250121|20260421|null|2|1","","","abef87863d194a2e9ea3f1643b5f4b15_20251221",""
"6660","TWD","1200","費用","代墊","20251222","常皮","","幫弟送筆電去清潔保養","","","","0ec2cdebbcaf44dfad324524911295b8","1522"
"6659","TWD","150","帳目整理","帳目整理","20251222","","常皮","","","","","03d361edb3c143afb5ec91db7b138eef","1522"
"6656","TWD","7488","轉帳","一般轉帳","20251222","台新銀行","台新信用卡","","","","","e2dc652d0da54d0381b33c56d2939e3c","1654"
"6655","TWD","190","餐飲食品","午餐","20251222","常皮","","波奇波奇：自選夏威夷飯（雞肉，糙米生菜各半，鷹嘴豆，鳳梨，番茄，黃瓜，毛豆，甜椒，黎麥，紫高麗菜，南瓜子）","","","","a32c83215c714821be1b38f88066c2f8","1328"
"6657","TWD","175","餐飲食品","午餐","20251223","常皮","","明爐燒臘：招牌飯","","","","38b06d57d8c24dc9acf288d04f6205ec","1438"
"6661","TWD","126","帳目整理","帳目整理","20251224","","常皮","","","","","cb3634f064584159b748280a59c1c5d1","1716"
"6658","TWD","346","餐飲食品","午餐","20251224","台新信用卡","","川牛木石亭極盛厚切牛排丼飯、旬野時蔬+溫泉蛋","","","","12b7bf9f68db45e998a31e18cc091dd2","1244"
"6663","TWD","450","帳目整理","帳目整理","20251226","","常皮","","","","","4c4fa5d18de24d7193a1692cbee7a125","1801"
"6662","TWD","200","餐飲食品","午餐","20251226","常皮","","三媽臭臭鍋：咖哩鍋","","","","b556eb3efa0c4952b040e47f68812f03","1219"
"6668","TWD","97","餐飲食品","飲料","20251228","台新信用卡","","打折牛奶跟豆漿，幫媽弟買優酪乳","","","","e61e28e4562c415a8431e1af31781d34","2248"
"6667","TWD","320","餐飲食品","晚餐","20251228","常皮","","貳壹村精緻麵點：紅燒牛筋牛肉麵，滷味（豬耳朵，豆干，豆皮等）","","","","dd66db260d6f4a3086860e2d740ae66c","2022"
"6666","TWD","115","餐飲食品","午餐","20251228","常皮","","鳳麟飯麵食館：羊肉炒飯","","","","6046a19702ea49ea9cbfbc795afc1768","2021"
"6665","TWD","14921","人情交際","孝養父母","20251228","玉山活存","","13000一月飯錢−165小籠包12/6+220虱目魚米粉−185小籠包12/13+100阿蘭草仔粿+240開心果巧克力+1760跟媽弟吃開飯−49優酪乳","","","","b8b5e32255d9483ea005cf01ff1c82ba","2020"
"6664","TWD","85","投資收入","定存","20251228","","台新銀行","","","","","d8466f6abc294d8a814ee05852d83e02","2018"
"6670","TWD","200","帳目整理","帳目整理","20251229","","常皮","","","","","1743b03e1bf94e3da7a3b1bc01991b8c","1319"
"6669","TWD","190","餐飲食品","午餐","20251229","常皮","","波奇波奇：自選夏威夷飯（雞肉，糙米生菜各半，鷹嘴豆，鳳梨，番茄，黃瓜，毛豆，甜椒，黎麥，紫高麗菜，南瓜子）","","","","e8dab84787b0453283e6624e5bebf79d","1239"
"6678","TWD","20","帳目整理","帳目整理","20251230","","常皮","","","","","98c77f0e5c544b1b80970ebe741a192a","2327"
"6672","TWD","430","餐飲食品","晚餐","20251230","常皮","","大海拉麵：田中w叉燒拉麵，蔬菜加量，炸牡蠣","","","","d1efdaf9e41d493b8d127882b4a3e1d2","1914"
"6671","TWD","105","餐飲食品","午餐","20251230","常皮","","升一排骨：燒肉飯","","","","dd84d873892d4bc9bd4cd157ddeab067","1227"
"6676","TWD","599","費用","代墊","20251231","台新信用卡","","幫弟買打光繪畫書","","","","9caf7ec705554475add4bee5575c7c53","2323"
"6675","TWD","726","餐飲食品","晚餐","20251231","台新信用卡","","皿富器食 \n 北海道牛五花湯咖哩 $420 \n 元氣炸蝦 $40 \n 單點 黑唐揚炸雞 $200 \n (附餐: 砂鍋白菜/十穀米) $0 \n ------------------ \n 小計：$660 \n 服務費(10%)：$66 \n 總計：$726","","","","5825870738184324a218eeddbf9ea369","1746"
"6674","TWD","830","餐飲食品","點心零嘴","20251231","常皮","","一百種味道三民店： \n 季節限定雙莓乳酪塔 $210 \n 有機桑椹乳酪塔 $160 \n 焦糖鹽花拿鐵(熱) $160 \n 香草可麗露 $90 \n ------------------ \n 總計：$620 \n  \n 再幫弟外帶： \n 季節限定雙莓乳酪塔 $210 \n 一共830","","","","4cee81e38ef24f49a93484246ef27760","1426"
"6673","TWD","70","餐飲食品","午餐","20251231","常皮","","餅留香千層餅：起司蔥花大餅","","","","58c24209d8824e858f698bc6fb5d5695","1422"
"6677","TWD","809","一般收入","收取還款","20260101","","常皮","弟還昨天甜派跟書的錢","","","","7569a6c1e8084772a4b9aa3012057981","2323"
"6681","TWD","200","帳目整理","帳目整理","20260102","","常皮","","","","","962f82700d924bfcad797cc166bae9f9","1940"
"6680","TWD","130","餐飲食品","午餐","20260102","常皮","","皇城燒臘便當：招牌飯","","","","13a0ebbf807642e1a90cee6aad937e63","1256"
"6679","TWD","1","一般收入","錯誤","20260102","","常皮","","","","","2d580eb06f0e42c0b24cfe9115d42dfd","1229"
"6685","TWD","64","休閒娛樂","電玩","20260104","台新信用卡","","deviant art訂閱","","","","547a2de7a2f94667953e217932b4ffda","2209"
"6682","TWD","311","居家生活","居家雜物","20260104","台新信用卡","","【山道具屋】 \n CNC 鋁合金輕量防水打火棒/鎂棒可替換/EDC求生打火石 \n PE 空氣泡棉自黏皮膚防磨膠帶/預防水泡/保護肌膚/登山防磨腳(一捲5M) \n OD Emergency Blanket 雙面加厚緊急防水求生軍毯 \n POM 快速鞋帶固定調節扣 \n SOS Alloy Whistle 鋁合金求生爆音哨×2","","","","f889187db2b8491585be9428fe06eace","2153"
"6684","TWD","94084","一般收入","公司薪資","20260105","","玉山活存","","","","","416fba33ed15457f92952d19afbeb401","930"
"6683","TWD","205","餐飲食品","午餐","20260105","常皮","","波奇波奇：自選夏威夷飯（雞肉，豆腐，糙米生菜各半，鳳梨，番茄，黃瓜，毛豆，甜椒，黎麥，紫高麗菜，南瓜子）","","","","beba1d47a44e4509a5565a7dc928fcf7","856"
"6688","TWD","55","餐飲食品","點心零嘴","20260106","台新信用卡","","烤地瓜","","","","f1c8fb4ed4e84bfdbc692db0f6385dfa","2043"
"6687","TWD","43","餐飲食品","飲料","20260106","台新信用卡","","牛奶230，290ml各一打79折，小的給弟弟喝","","","","ffc40f4ecc724378aaf0b370c9fbf280","2041"
"6686","TWD","251","餐飲食品","午餐","20260106","常皮","","東區稻香蛋炒飯長春店：什錦蛋炒飯，炒空心菜","","","","3b223bdd4330478b87ad7bbda22818e0","1222"
"6689","TWD","270","餐飲食品","午餐","20260107","常皮","","波奇波奇：自選夏威夷飯（鮭魚，辣鮪魚泥，豆腐，糙米生菜各半，鳳梨，番茄，黃瓜，毛豆，甜椒，黎麥，紫高麗菜，南瓜子）","","","","ba2b264c563947bf8cca5b5a82b0f67b","1306"
"6690","TWD","354","餐飲食品","午餐","20260108","常皮","","來來越式料理：海鮮河粉，法國麵包","","","","3d3b3d6a9367469d88bbd11056e63e12","1144"
"6698","TWD","1098","餐飲食品","晚餐","20260109","台新銀行","","跟弟去吃新馬辣998吃到飽","","","","1dc9f447c585421ab833de3ccdb4b751","1443"
"6691","TWD","250","餐飲食品","午餐","20260109","常皮","","大無敵烤肉飯：烤雞菲力飯，加30元燒肉，烤牛肉","","","","57cc5a8f56994b6fbac6b3be74a21580","1216"
"6694","TWD","250","人情交際","孝養父母","20260110","台新信用卡","","舊頂街派出所：杏仁海苔米香","","","","c68c25b1ec984b4bb05c4c590cb2c815","1734"
"6693","TWD","325","餐飲食品","午餐","20260110","台新銀行","","億品鍋豐原店：蛤蜊爆爆鍋，換成蔬菜，羊肉","","","","f7e737a3c13247e8a4c65dc5f2efe5e0","1733"
"6692","TWD","50","餐飲食品","點心零嘴","20260110","常皮","","豐原廟東阿銘伯花生捲冰淇淋：花生捲冰淇淋中","","","","bbfc5e9d883444e7b27adb7814449c97","1732"
"6699","TWD","120","代墊","代墊","20260111","","常皮","之前幫爸加機車油","","","","8cbeb1ef9b684337abae55ade9d6cbb4","1308"
"6697","TWD","427","投資收入","定存","20260111","","玉山定存","","","","","e777fc49297b405a8790943daa6a0375","1439"
